User_ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Customer_Segment
PP0000143,92,4,65711.94,3,4,4,11,Loyal
PP0000144,358,1,234.92,1,1,1,3,Lost
PP0000145,50,4,36315.22,4,4,4,12,Loyal
PP0000146,51,7,104470.74,4,5,5,14,High Value
PP0000147,158,2,43181.61,2,1,4,7,Regular
PP0000148,33,2,16132.130000000001,4,1,3,8,Regular
PP0000149,32,2,976.69,4,1,1,6,Needs Attention
PP0000150,134,1,2836.86,2,1,1,4,Lost
PP0000152,38,8,94545.66,4,5,5,14,High Value
PP0000153,47,2,4653.38,4,1,2,7,Regular
PP0000154,26,5,57753.659999999996,5,5,4,14,High Value
PP0000156,59,6,96636.82,4,5,5,14,High Value
PP0000157,7,6,15355.33,5,5,3,13,High Value
PP0000158,79,5,12434.29,3,5,3,11,Loyal
PP0000159,89,8,34827.84,3,5,4,12,Loyal
PP0000160,32,5,21005.379999999997,4,5,3,12,Loyal
PP0000161,24,1,560.99,5,1,1,7,Regular
PP0000162,313,2,6048.99,1,1,2,4,Lost
PP0000164,168,3,16266.27,2,3,3,8,Regular
PP0000165,166,3,19357.03,2,3,3,8,Regular
PP0000166,30,4,7792.720000000001,4,4,2,10,Loyal
PP0000167,34,2,16430.82,4,1,3,8,Regular
PP0000168,227,1,13648.71,1,1,3,5,Needs Attention
PP0000169,10,3,67642.83,5,3,4,12,Loyal
PP0000170,46,3,89984.81,4,3,5,12,Loyal
PP0000171,77,2,58703.02,3,1,4,8,Regular
PP0000172,114,3,10170.84,2,3,3,8,Regular
PP0000173,2,7,27568.04,5,5,4,14,High Value
PP0000174,126,4,166439.41,2,4,5,11,Loyal
PP0000175,9,3,9283.7,5,3,2,10,Loyal
PP0000176,167,1,4953.73,2,1,2,5,Needs Attention
PP0000177,271,3,88801.83000000002,1,3,5,9,Regular
PP0000178,193,1,1268.46,1,1,1,3,Lost
PP0000179,133,5,200722.39,2,5,5,12,Loyal
PP0000180,263,2,5354.98,1,1,2,4,Lost
PP0000181,142,4,23434.600000000002,2,4,4,10,Loyal
PP0000182,181,3,26046.68,2,3,4,9,Regular
PP0000183,42,5,39677.130000000005,4,5,4,13,High Value
PP0000184,23,5,26421.8,5,5,4,14,High Value
PP0000185,208,2,77541.22,1,1,5,7,Regular
PP0000186,67,2,3420.71,3,1,1,5,Needs Attention
PP0000188,15,1,60011.58,5,1,4,10,Loyal
PP0000189,191,1,3458.34,1,1,1,3,Lost
PP0000190,78,6,67255.86,3,5,4,12,Loyal
PP0000191,64,3,20724.920000000002,3,3,3,9,Regular
PP0000192,9,4,11497.5,5,4,3,12,Loyal
PP0000193,90,3,11876.23,3,3,3,9,Regular
PP0000194,142,7,30632.36,2,5,4,11,Loyal
PP0000195,235,2,5265.92,1,1,2,4,Lost
PP0000197,27,3,95862.45,5,3,5,13,High Value
PP0000198,252,4,7804.24,1,4,2,7,Regular
PP0000199,177,3,70984.88,2,3,5,10,Loyal
PP0000200,43,4,91707.36,4,4,5,13,High Value
PP0000201,62,3,6084.27,4,3,2,9,Regular
PP0000202,169,3,57192.89,2,3,4,9,Regular
PP0000204,61,3,2271.81,4,3,1,8,Regular
PP0000205,111,4,10178.349999999999,2,4,3,9,Regular
PP0000206,78,2,96825.39000000001,3,1,5,9,Regular
PP0000207,236,1,3754.56,1,1,1,3,Lost
PP0000208,1,5,62366.8,5,5,4,14,High Value
PP0000209,34,4,22354.62,4,4,3,11,Loyal
PP0000210,36,7,185718.50999999998,4,5,5,14,High Value
PP0000211,132,4,23793.34,2,4,4,10,Loyal
PP0000212,148,2,9247.2,2,1,2,5,Needs Attention
PP0000213,29,5,23471.71,4,5,4,13,High Value
PP0000214,102,2,21167.19,3,1,3,7,Regular
PP0000215,96,4,8464.39,3,4,2,9,Regular
PP0000216,5,4,9177.06,5,4,2,11,Loyal
PP0000217,140,3,8742.8,2,3,2,7,Regular
PP0000218,54,2,4422.1,4,1,2,7,Regular
PP0000219,172,3,159513.72,2,3,5,10,Loyal
PP0000220,59,2,2151.37,4,1,1,6,Needs Attention
PP0000221,30,5,143407.46,4,5,5,14,High Value
PP0000222,7,3,20684.98,5,3,3,11,Loyal
PP0000223,1,4,21925.23,5,4,3,12,Loyal
PP0000224,162,2,2056.19,2,1,1,4,Lost
PP0000225,14,5,106694.61,5,5,5,15,High Value
PP0000226,39,5,18833.52,4,5,3,12,Loyal
PP0000227,31,6,19982.79,4,5,3,12,Loyal
PP0000228,266,2,6225.280000000001,1,1,2,4,Lost
PP0000229,247,3,9234.48,1,3,2,6,Needs Attention
PP0000230,286,1,4985.47,1,1,2,4,Lost
PP0000231,43,6,186412.24,4,5,5,14,High Value
PP0000232,163,2,6852.4,2,1,2,5,Needs Attention
PP0000233,90,3,61370.82000000001,3,3,4,10,Loyal
PP0000235,68,4,70877.84,3,4,5,12,Loyal
PP0000236,293,1,3084.68,1,1,1,3,Lost
PP0000237,11,8,98444.99,5,5,5,15,High Value
PP0000238,86,3,166877.68,3,3,5,11,Loyal
PP0000239,198,1,4466.2,1,1,2,4,Lost
PP0000240,276,1,4003.78,1,1,1,3,Lost
PP0000241,28,4,24749.850000000002,5,4,4,13,High Value
PP0000242,109,3,6189.58,3,3,2,8,Regular
PP0000243,184,5,112912.68,1,5,5,11,Loyal
PP0000244,113,3,6195.37,2,3,2,7,Regular
PP0000245,15,5,105376.52,5,5,5,15,High Value
PP0000246,337,2,4250.66,1,1,1,3,Lost
PP0000247,20,3,5912.03,5,3,2,10,Loyal
PP0000248,70,3,21578.57,3,3,3,9,Regular
PP0000249,56,5,84089.67,4,5,5,14,High Value
PP0000250,14,2,77652.95999999999,5,1,5,11,Loyal
PP0000251,132,3,15677.71,2,3,3,8,Regular
PP0000252,7,2,29130.02,5,1,4,10,Loyal
PP0000253,18,5,70335.38,5,5,5,15,High Value
PP0000254,172,4,45464.0,2,4,4,10,Loyal
PP0000255,60,3,79671.74,4,3,5,12,Loyal
PP0000256,138,3,3788.2500000000005,2,3,1,6,Needs Attention
PP0000257,229,2,50383.22,1,1,4,6,Needs Attention
PP0000258,110,4,13986.98,2,4,3,9,Regular
PP0000259,44,2,93263.5,4,1,5,10,Loyal
PP0000262,260,1,1599.02,1,1,1,3,Lost
PP0000263,68,3,12834.91,3,3,3,9,Regular
PP0000264,265,2,19037.059999999998,1,1,3,5,Needs Attention
PP0000265,254,3,10106.18,1,3,3,7,Regular
PP0000267,54,7,237711.11,4,5,5,14,High Value
PP0000268,38,5,101858.29,4,5,5,14,High Value
PP0000269,73,5,77778.51999999999,3,5,5,13,High Value
PP0000270,63,5,133115.92,3,5,5,13,High Value
PP0000271,27,2,10067.779999999999,5,1,3,9,Regular
PP0000272,81,4,19397.64,3,4,3,10,Loyal
PP0000273,173,1,80.29,2,1,1,4,Lost
PP0000274,221,2,61418.49,1,1,4,6,Needs Attention
PP0000275,37,4,22981.079999999998,4,4,3,11,Loyal
PP0000276,53,6,80016.89,4,5,5,14,High Value
PP0000277,282,2,723.1199999999999,1,1,1,3,Lost
PP0000278,161,2,35247.68,2,1,4,7,Regular
PP0000279,32,3,27406.739999999998,4,3,4,11,Loyal
PP0000280,33,1,11661.82,4,1,3,8,Regular
PP0000281,67,1,3644.25,3,1,1,5,Needs Attention
PP0000282,49,4,91344.16,4,4,5,13,High Value
PP0000283,69,3,17607.8,3,3,3,9,Regular
PP0000284,11,7,148481.3,5,5,5,15,High Value
PP0000285,28,5,108553.59999999999,5,5,5,15,High Value
PP0000286,56,4,151737.88999999998,4,4,5,13,High Value
PP0000287,125,1,2822.72,2,1,1,4,Lost
PP0000288,110,1,64.73,2,1,1,4,Lost
PP0000289,58,1,14403.39,4,1,3,8,Regular
PP0000290,309,1,19051.6,1,1,3,5,Needs Attention
PP0000291,13,2,4692.23,5,1,2,8,Regular
PP0000292,43,7,73421.62,4,5,5,14,High Value
PP0000293,15,5,67669.56,5,5,4,14,High Value
PP0000294,95,5,38969.25,3,5,4,12,Loyal
PP0000295,251,2,33922.62,1,1,4,6,Needs Attention
PP0000296,346,1,3225.19,1,1,1,3,Lost
PP0000297,51,3,81651.03,4,3,5,12,Loyal
PP0000298,60,1,3124.71,4,1,1,6,Needs Attention
PP0000299,125,1,1808.08,2,1,1,4,Lost
PP0000300,121,3,100470.43000000001,2,3,5,10,Loyal
PP0000301,72,6,47177.3,3,5,4,12,Loyal
PP0000302,87,2,20815.85,3,1,3,7,Regular
PP0000303,108,2,3270.1499999999996,3,1,1,5,Needs Attention
PP0000304,170,2,17686.11,2,1,3,6,Needs Attention
PP0000305,223,1,4702.75,1,1,2,4,Lost
PP0000307,200,2,4271.17,1,1,1,3,Lost
PP0000308,12,2,9050.759999999998,5,1,2,8,Regular
PP0000309,104,2,29965.26,3,1,4,8,Regular
PP0000311,161,4,8422.0,2,4,2,8,Regular
PP0000312,143,4,96338.98999999999,2,4,5,11,Loyal
PP0000313,57,3,60396.0,4,3,4,11,Loyal
PP0000314,67,1,1906.8,3,1,1,5,Needs Attention
PP0000315,95,4,41943.55,3,4,4,11,Loyal
PP0000316,44,2,2429.0299999999997,4,1,1,6,Needs Attention
PP0000317,195,2,53964.46,1,1,4,6,Needs Attention
PP0000318,200,1,14859.54,1,1,3,5,Needs Attention
PP0000320,125,4,81313.04000000001,2,4,5,11,Loyal
PP0000321,171,1,1317.99,2,1,1,4,Lost
PP0000322,69,3,88221.67,3,3,5,11,Loyal
PP0000323,71,3,131134.91,3,3,5,11,Loyal
PP0000324,50,4,187778.64,4,4,5,13,High Value
PP0000325,16,3,19655.51,5,3,3,11,Loyal
PP0000326,301,1,49977.78,1,1,4,6,Needs Attention
PP0000327,32,2,20004.18,4,1,3,8,Regular
PP0000328,90,3,23764.67,3,3,4,10,Loyal
PP0000329,320,1,1608.19,1,1,1,3,Lost
PP0000330,46,4,11129.64,4,4,3,11,Loyal
PP0000331,301,1,3312.18,1,1,1,3,Lost
PP0000332,293,1,2919.62,1,1,1,3,Lost
PP0000333,119,3,13412.01,2,3,3,8,Regular
PP0000334,43,3,40831.35,4,3,4,11,Loyal
PP0000335,362,1,6571.71,1,1,2,4,Lost
PP0000336,88,4,40303.25,3,4,4,11,Loyal
PP0000337,122,2,19019.68,2,1,3,6,Needs Attention
PP0000338,101,4,56580.8,3,4,4,11,Loyal
PP0000340,54,3,8860.37,4,3,2,9,Regular
PP0000341,77,5,77939.27,3,5,5,13,High Value
PP0000342,12,6,158014.33,5,5,5,15,High Value
PP0000343,28,2,24061.5,5,1,4,10,Loyal
PP0000344,51,4,150524.63,4,4,5,13,High Value
PP0000345,97,3,73945.09999999999,3,3,5,11,Loyal
PP0000346,55,4,92892.48,4,4,5,13,High Value
PP0000347,147,2,8665.32,2,1,2,5,Needs Attention
PP0000348,7,5,4979.11,5,5,2,12,Loyal
PP0000349,6,4,6314.46,5,4,2,11,Loyal
PP0000350,78,1,4043.23,3,1,1,5,Needs Attention
PP0000351,17,3,60554.079999999994,5,3,4,12,Loyal
PP0000352,92,3,7974.24,3,3,2,8,Regular
PP0000353,87,5,95957.63,3,5,5,13,High Value
PP0000355,156,5,11418.470000000001,2,5,3,10,Loyal
PP0000356,241,3,175458.7,1,3,5,9,Regular
PP0000357,32,2,14446.189999999999,4,1,3,8,Regular
PP0000358,71,2,13125.400000000001,3,1,3,7,Regular
PP0000359,61,1,241.86,4,1,1,6,Needs Attention
PP0000360,129,3,69563.83,2,3,5,10,Loyal
PP0000361,77,2,7606.7300000000005,3,1,2,6,Needs Attention
PP0000362,162,1,2550.54,2,1,1,4,Lost
PP0000363,53,4,15598.18,4,4,3,11,Loyal
PP0000364,204,1,4507.6,1,1,2,4,Lost
PP0000365,64,6,48928.28,3,5,4,12,Loyal
PP0000366,44,5,40691.13,4,5,4,13,High Value
PP0000367,321,1,1539.57,1,1,1,3,Lost
PP0000368,73,5,50451.07,3,5,4,12,Loyal
PP0000369,167,2,7672.11,2,1,2,5,Needs Attention
PP0000370,286,4,9823.82,1,4,2,7,Regular
PP0000371,244,2,70656.22,1,1,5,7,Regular
PP0000372,56,2,61794.03,4,1,4,9,Regular
PP0000373,105,5,6128.69,3,5,2,10,Loyal
PP0000374,16,1,1107.28,5,1,1,7,Regular
PP0000375,115,1,8019.78,2,1,2,5,Needs Attention
PP0000376,42,5,99645.9,4,5,5,14,High Value
PP0000377,39,3,21150.370000000003,4,3,3,10,Loyal
PP0000378,5,2,5554.63,5,1,2,8,Regular
PP0000379,13,4,65471.26,5,4,4,13,High Value
PP0000381,26,4,77990.86,5,4,5,14,High Value
PP0000382,70,7,68950.01,3,5,5,13,High Value
PP0000383,68,3,9809.46,3,3,2,8,Regular
PP0000384,165,2,103789.04,2,1,5,8,Regular
PP0000385,3,3,22758.059999999998,5,3,3,11,Loyal
PP0000386,11,3,94193.68,5,3,5,13,High Value
PP0000387,205,4,10883.5,1,4,3,8,Regular
PP0000388,6,4,70241.24,5,4,5,14,High Value
PP0000389,84,3,97382.31,3,3,5,11,Loyal
PP0000390,176,2,3502.96,2,1,1,4,Lost
PP0000391,246,2,5065.01,1,1,2,4,Lost
PP0000392,210,1,2326.22,1,1,1,3,Lost
PP0000393,29,2,2998.67,4,1,1,6,Needs Attention
PP0000394,62,2,5164.84,4,1,2,7,Regular
PP0000395,11,5,23378.33,5,5,4,14,High Value
PP0000397,250,1,1212.32,1,1,1,3,Lost
PP0000398,74,2,5342.53,3,1,2,6,Needs Attention
PP0000399,42,4,16084.38,4,4,3,11,Loyal
PP0000400,334,1,3523.18,1,1,1,3,Lost
PP0000401,185,2,3039.28,1,1,1,3,Lost
PP0000402,100,2,4795.030000000001,3,1,2,6,Needs Attention
PP0000403,55,5,37494.97,4,5,4,13,High Value
PP0000404,45,5,84202.71,4,5,5,14,High Value
PP0000405,107,2,7896.58,3,1,2,6,Needs Attention
PP0000406,190,2,5050.37,1,1,2,4,Lost
PP0000407,15,5,49922.32,5,5,4,14,High Value
PP0000408,113,2,9770.960000000001,2,1,2,5,Needs Attention
PP0000409,157,2,6523.24,2,1,2,5,Needs Attention
PP0000410,209,2,12546.85,1,1,3,5,Needs Attention
PP0000411,343,1,1552.93,1,1,1,3,Lost
PP0000412,257,1,1341.62,1,1,1,3,Lost
PP0000413,168,3,71125.83,2,3,5,10,Loyal
PP0000414,83,5,30895.9,3,5,4,12,Loyal
PP0000415,28,1,174.45,5,1,1,7,Regular
PP0000416,148,4,106738.25,2,4,5,11,Loyal
PP0000417,151,4,6662.97,2,4,2,8,Regular
PP0000418,112,3,5416.3,2,3,2,7,Regular
PP0000419,90,2,3944.74,3,1,1,5,Needs Attention
PP0000420,41,2,114830.65,4,1,5,10,Loyal
PP0000421,49,4,87057.11,4,4,5,13,High Value
PP0000422,51,5,26815.6,4,5,4,13,High Value
PP0000423,53,2,64519.68,4,1,4,9,Regular
PP0000424,148,2,2861.36,2,1,1,4,Lost
PP0000426,192,1,538.94,1,1,1,3,Lost
PP0000427,112,2,35268.39,2,1,4,7,Regular
PP0000428,41,4,54446.200000000004,4,4,4,12,Loyal
PP0000429,19,4,9928.05,5,4,2,11,Loyal
PP0000430,11,4,27454.45,5,4,4,13,High Value
PP0000431,21,3,3458.27,5,3,1,9,Regular
PP0000432,29,6,33798.96,4,5,4,13,High Value
PP0000433,39,1,1955.28,4,1,1,6,Needs Attention
PP0000434,75,2,85581.37,3,1,5,9,Regular
PP0000435,230,2,59593.99,1,1,4,6,Needs Attention
PP0000436,54,5,166457.87,4,5,5,14,High Value
PP0000437,187,1,3960.56,1,1,1,3,Lost
PP0000438,259,2,10196.05,1,1,3,5,Needs Attention
PP0000439,23,3,8866.39,5,3,2,10,Loyal
PP0000440,148,6,6234.4,2,5,2,9,Regular
PP0000441,90,2,127056.67,3,1,5,9,Regular
PP0000442,135,5,24251.21,2,5,4,11,Loyal
PP0000443,32,5,34501.95,4,5,4,13,High Value
PP0000444,132,2,81081.28,2,1,5,8,Regular
PP0000445,352,3,7287.54,1,3,2,6,Needs Attention
PP0000446,54,4,87647.92,4,4,5,13,High Value
PP0000447,40,3,19462.96,4,3,3,10,Loyal
PP0000448,16,3,107685.70000000001,5,3,5,13,High Value
PP0000449,91,2,2551.31,3,1,1,5,Needs Attention
PP0000450,11,4,72009.68000000001,5,4,5,14,High Value
PP0000451,4,4,17667.33,5,4,3,12,Loyal
PP0000452,326,1,2028.31,1,1,1,3,Lost
PP0000453,171,5,59151.54,2,5,4,11,Loyal
PP0000454,219,2,4290.84,1,1,2,4,Lost
PP0000456,28,3,15461.93,5,3,3,11,Loyal
PP0000457,271,2,19076.93,1,1,3,5,Needs Attention
PP0000458,99,1,4980.07,3,1,2,6,Needs Attention
PP0000459,119,2,6104.719999999999,2,1,2,5,Needs Attention
PP0000461,28,4,60395.34,5,4,4,13,High Value
PP0000462,148,3,71425.11,2,3,5,10,Loyal
PP0000463,285,2,4993.61,1,1,2,4,Lost
PP0000464,53,3,65631.89,4,3,4,11,Loyal
PP0000465,92,4,23269.91,3,4,4,11,Loyal
PP0000467,275,1,3735.02,1,1,1,3,Lost
PP0000468,6,1,12019.99,5,1,3,9,Regular
PP0000469,64,5,78951.16,3,5,5,13,High Value
PP0000470,252,2,5015.2300000000005,1,1,2,4,Lost
PP0000471,21,2,3253.59,5,1,1,7,Regular
PP0000472,138,7,101060.82,2,5,5,12,Loyal
PP0000473,184,1,1224.21,1,1,1,3,Lost
PP0000474,65,2,5714.450000000001,3,1,2,6,Needs Attention
PP0000475,200,2,6677.110000000001,1,1,2,4,Lost
PP0000477,112,1,13854.36,2,1,3,6,Needs Attention
PP0000478,15,3,97537.95999999999,5,3,5,13,High Value
PP0000479,213,2,3861.05,1,1,1,3,Lost
PP0000480,15,3,7499.17,5,3,2,10,Loyal
PP0000481,30,5,83242.44,4,5,5,14,High Value
PP0000482,3,9,211775.85,5,5,5,15,High Value
PP0000483,181,2,56366.369999999995,2,1,4,7,Regular
PP0000484,9,1,3028.51,5,1,1,7,Regular
PP0000485,75,4,248493.11,3,4,5,12,Loyal
PP0000487,206,4,111025.35999999999,1,4,5,10,Loyal
PP0000488,222,1,14492.82,1,1,3,5,Needs Attention
PP0000490,208,1,340.75,1,1,1,3,Lost
PP0000492,175,3,14371.81,2,3,3,8,Regular
PP0000493,144,5,159163.63,2,5,5,12,Loyal
PP0000494,97,2,12733.07,3,1,3,7,Regular
PP0000495,62,5,88844.51000000001,4,5,5,14,High Value
PP0000496,39,1,71249.64,4,1,5,10,Loyal
PP0000497,277,2,24401.09,1,1,4,6,Needs Attention
PP0000498,10,6,164656.82,5,5,5,15,High Value
PP0000500,106,3,5270.43,3,3,2,8,Regular
PP0000501,17,2,3199.35,5,1,1,7,Regular
PP0000502,27,3,80545.98999999999,5,3,5,13,High Value
PP0000503,73,1,45801.03,3,1,4,8,Regular
PP0000504,4,3,58115.35,5,3,4,12,Loyal
PP0000505,48,4,15878.11,4,4,3,11,Loyal
PP0000506,357,1,53186.0,1,1,4,6,Needs Attention
PP0000507,195,2,215.88,1,1,1,3,Lost
PP0000508,14,3,5962.469999999999,5,3,2,10,Loyal
PP0000509,37,2,6406.45,4,1,2,7,Regular
PP0000510,121,3,10802.53,2,3,3,8,Regular
PP0000511,116,2,12223.98,2,1,3,6,Needs Attention
PP0000512,48,5,26830.68,4,5,4,13,High Value
PP0000513,12,7,208914.03999999998,5,5,5,15,High Value
PP0000514,86,6,39903.09,3,5,4,12,Loyal
PP0000516,24,4,34724.9,5,4,4,13,High Value
PP0000517,271,1,2810.91,1,1,1,3,Lost
PP0000518,155,5,60681.57,2,5,4,11,Loyal
PP0000519,53,1,2383.48,4,1,1,6,Needs Attention
PP0000520,25,2,7221.82,5,1,2,8,Regular
PP0000521,30,3,4964.19,4,3,2,9,Regular
PP0000522,109,1,1994.55,3,1,1,5,Needs Attention
PP0000523,135,2,441.06,2,1,1,4,Lost
PP0000524,45,5,188523.91,4,5,5,14,High Value
PP0000525,196,4,6251.0,1,4,2,7,Regular
PP0000526,224,1,3624.49,1,1,1,3,Lost
PP0000527,28,3,10461.619999999999,5,3,3,11,Loyal
PP0000528,70,5,42403.06,3,5,4,12,Loyal
PP0000529,287,2,3489.65,1,1,1,3,Lost
